Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
snoopack.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
fognews.ru,No,No,No,No,No,No,No,No,No,Yes,No,No,1
alynews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
godlikeproductions.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
usahitman.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
dallastimes.us,No,No,No,No,No,No,No,No,No,No,Yes,No,1
guerilla.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1
sputniknews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
liberalplug.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
drudgereport.com.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1
firstpost.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1
regated.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
nationonenews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
naturalnewsblogs.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
icr.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
memoryholeblog.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
darkmoon.me,No,No,No,No,No,No,No,No,No,Yes,No,No,1
ebolahoax.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
duhprogressive.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
onepoliticalplaza.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
horowitzfreedomcenter.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
darkpolitricks.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
therussophile.org,No,No,No,No,No,No,No,No,Yes,No,No,No,1
tmzuncut.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
m.palmbeachpost.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1
viraltube.nl,No,No,No,No,No,No,No,No,No,Yes,No,No,1
bigbluedimension.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
localnews33.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1
undergroundnewsreport.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
thehardtimes.net,No,No,No,No,No,No,No,No,No,Yes,No,No,1
christiantimes.com,No,No,No,No,Yes,No,No,No,No,No,No,No,1
silverdoctors.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1
empiresports.co,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,7
responsibletechnology.org,No,No,No,No,No,No,No,No,No,Yes,No,No,1
