Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus
16wmpo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
21stcenturywire.com,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,4
24wpn.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
24x365live.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
70news.wordpress.com,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,3
USAToday.com.co,No,No,No,No,No,No,Yes,Yes,No,No,No,No,2
abcnews.com.co,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,5
abeldanger.net,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
abovetopsecret.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
activistpost.com,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,5
actualidadpanamericana.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
addictinginfo.org,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3
adobochronicles.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2
alabamaobserver.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
americanflavor.news,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2
americannews.com,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,5
americanpoliticnews.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
americanpresident.co,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
amplifyingglass.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
amposts.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
anews24.org/,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
angrypatriotmovement.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
anonjekloy.tk,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
associatedmediacoverage.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
aurora-news.us,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
awarenessact.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
bb4sp.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2
beforeitsnews.com,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,5
bigamericannews.com,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2
bipartisanreport.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
blacklistednews.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
bluenationreview.com,No,Yes,No,No,No,No,No,No,No,Yes,No,No,2
bostonleader.com,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3
