,Source,Fake News Watch,The Daily Dot,U.S. News and World Report,New Republic,CBS News,about.com,NPR,Snopes Field Guide,Kate Starbird,Opensources,Craig Silverman,Politifact,n_consensus,domain,volume
0,100percentfedup.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,100percentfedup.com,100.0
1,12minutos.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,12minutos.com,100.0
2,16wmpo.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
3,20minutenews.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
4,21stcenturywire.com,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,4,21stcenturywire.com,100.0
5,247newsmedia.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
6,24aktuelles.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,24aktuelles.com,4.0
7,24newsflash.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
8,24online.news,No,No,No,No,No,No,No,No,No,No,No,Yes,1,24online.news,1.0
9,24wpn.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,,
10,24x365live.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
11,365usanews.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
12,4threvolutionarywar.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,4threvolutionarywar.wordpress.com,47.0
13,70news.wordpress.com,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,3,70news.wordpress.com,38.0
14,82.221.129.208,No,No,No,No,No,No,No,No,No,Yes,No,No,1,82.221.129.208,87.0
15,USAToday.com.co,No,No,No,No,No,No,Yes,Yes,No,No,No,No,2,,
16,a-news24.com,No,No,No,No,No,No,No,No,No,No,No,Yes,1,,
17,aanirfan.blogspot.com,No,No,No,No,No,No,No,No,Yes,No,No,No,1,aanirfan.blogspot.com,45.0
18,abcnews-us.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
19,abcnews.com.co,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,5,abcnews.com.co,2.0
20,abcnewsgo.co,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
21,abeldanger.net,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,,
22,abovetopsecret.com,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2,abovetopsecret.com,100.0
23,abriluno.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,abriluno.com,1.0
24,aceflashman.wordpress.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
25,actforamerica.org/news,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
26,acting-man.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
27,activistpost.com,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,5,activistpost.com,100.0
28,actualidadpanamericana.com,No,No,No,No,No,No,No,No,No,Yes,No,Yes,2,actualidadpanamericana.com,100.0
29,actualite.co,No,No,No,No,No,No,No,No,No,No,Yes,No,1,actualite.co,4.0
30,addictinginfo.org,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,3,addictinginfo.org,100.0
31,adflegal.org/media,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
32,adobochronicles.com,No,No,No,No,No,No,No,No,No,Yes,Yes,No,2,adobochronicles.com,39.0
33,aheadoftheherd.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,aheadoftheherd.com,14.0
34,ahtribune.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,ahtribune.com,100.0
35,alabamaobserver.com,No,No,No,No,No,No,No,No,No,No,Yes,Yes,2,,
36,albertatimes.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
37,alertchild.com,No,No,No,No,No,No,No,No,No,No,Yes,No,1,,
38,allnewspipeline.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,allnewspipeline.com,100.0
39,alt-market.com,No,No,No,No,No,No,No,No,No,Yes,No,No,1,,
